"tweet","sentiment"
"Special Weather Statement issued May 15 at 1:25PM EDT expiring May 15 at 2:30PM EDT by NWS Newport/Morehead City... {link}",2
"This weekend's weather forecast is looking dismal. It's not fair that it's nice during the week and miserable on weekends. #realworldwhine",1
"Enjoying the sun rise over the desert. It's like this morning is the calm before the storm #IMSG",3
"Supposed to be doing a ghost walk on Friday night. Looks like the weather has other ideas.",1
"How fair is it really to judge attendance in April in early May when we've had such terrible weather? How about we revisit this in Sept?",1
"Tuesday 06:00 AM Elko Weather. Temp. 38, High 39, Low 36, Hum. 66%  Wind 0.0 mph SSW, Gust 23 NE  Baro. 29.855 .in, Trend Steady #fb",2
"Severe thunderstorms at 4am #CMONSON!",2
"@mention It's chilly in Henderson too. Even chilly for me...",1
"#WEATHER:  12:54 pm: 70.0F. Feels F. 29.96% Humidity. 8.1MPH South Wind.",2
"Severe Thunderstorm Warning issued May 13 at 6:07PM CDT expiring May 13 at 7:00PM CDT by NWS Memphis... {link}",2
"I couldn't agree more! RT @mention: Nice and sunny today! Perfect day for some Tillamook Ice Cream!",3
"81 degrees at 7:00 in da mornin !",2
"The skies of East Texas are bein lit wit lightning #thunderstorm",2
"@mention I am sorry! I was whining because it was cold & rainy here in Chicago. Heading home to Tampa and some sunshine, I hope!",1
"Warm weather #finally &lt;3 makes me so happy!",3
"RT @mention: I have been having a really good month. Perfect way to bring in the sumer and beautiful weather",3
"u had to change up the game oh the weather is not the same now there's only cloudy days I can't stand the rain in july",1
"JV Conference tonight. Sad thing is, because of the crazy spring weather, this is the first outdoor meet for some of the girls!",1
"CTFU @ the chick in a tank top and booty shorts w/no coat who is now cursing the clouds as they roll in. Its called the weather channel hun.",2
"Why isn't my city ""The Windy City""? It's windy as shit again! Besides, it's always windy. Not a day without a huge wind or slight breeze.",1
"@mention Good morning from sunny Miami.",3
"Thunderstorm in Vicinity Rain Fog/Mist and 56 F at Rolla National Airport, MO Winds are Southeast at 13.8 MPH (12 KT).  {link}",2
"It's hot as hell outside!",1
"#WEATHER:  10:51 pm: 77.0F. Feels F. 29.90% Humidity. 8.1MPH West Wind.",2
"Morning, all. Hump Day has officially arrived, and the weather is of course horrendous. Friday, move your ass.",1
"Its so windy up here! Can some please send a copter to pick me up? My legs are JELLO. {link}",1
"Its mad hot out here",1
"Bit of rotation there for a few scans. Calmer now RT @mention take a look at the storm rel. velocities of the storn near caldwell",2
"Watching the pretty spring storm...",3
"holy crapmatters, it's been a busy day.  weather problems, drives for joplin, doing the news on my own and calling the refinery guy, jeeezz",1
"This weather is perfect for Jazz in the Park! 1pm at the South Park gazebo, ft. Blueprint and New Jazz Order big band #kjhk",3
"ahhh nice and sunny in good ole norfolk!",3
"Thunderstorms round two",2
"THE NATIONAL WEATHER SERVICE HAS ISSUED A SEVERE THUNDERSTORM WARNING FOR NORTHWESTERN DEWEY COUNTY, WESTERN MAJOR...",2
"RT @mention: its lookn like this weather is good",3
"@mention heehee yeah I can but doubt it will be free again lol this place is for rich folks! The weather is great, gonna be 30 today!",3
"Looking forward to this nice weather coming up",3
"Bangkok thunderstorm {link}",2
"@mention @mention check out these storm clouds in Maple Grove! {link}",2
"Who moved my spring/summer weather? I'm freezing. :(",1
"If the weather was always as perfect as it's been this week, no one would EVER GET ANYTHING DONE",3
"The view from where I'm sitting. It's glorious! The weather... Oh, and @mention.  {link} {link}",3
"The weather is great in Atlanta GA...a great day to make some major moves",3
"RT @mention I hope this weather clears up for the party tonight . &gt;&gt; what party tonite.",1
"M0ZIF QTH Weather 03:00 18.8&#xB0;C 62 pct 3.8 mph E {link}",2
"@mention I can hear thunder so I'm hoping it storms really hard",3
"Da only good thing about da summer is my birthday...i hate hot weather...",1
"This weather, awesome wind, listen to @mention @mention @mention n @mention best vacation for sunday..",3
"First time on twitter in days!  I'm having a blast in London!  Off to walk around the city then afternoon tea!  The weather is beautiful.",3
"@mention whoa! You are working late! Storm is crazy here to. we had a couple cars lined up under the drop off area outside the sanctuary.",1
"@mention I'm in Portland, OR. Weather is beautiful over here too. What inspired you to create WM?",3
"RT @mention: @mention I was hoping the colder weather would hasten their demise...I'm afraid it's only prolonged our inevitable d ...",1
"Back at it at Indy. Patrick 1st. Runs great. Right now she slots into mid row-9.  Overcomes crew gaf sent her to bk of line on rainy day.",2
"@mention sounds perfect! Gotta love the cooler weather while it lasts! #gonnagetHOT",3
"KPAX KAJ STORMTracker Weather By Wednesday another system is knocking on our door with the chance for rain... {link}",2
"Mississippi River Flooding in Memphis - Evacuations in Progress! Live Tweets, Weather Reports & Warnings in Tennesse.. {link}",2
"#cleaning up my house. Enjoying the #sunshine! :)",3
"Severe Thunderstorm Warning for Barton and Russell County in KS until 12:00am CDT. #kswx",2
"today was #perfect weather",3
"#WEATHER:  6:52 am : 63.0F. Feels F. 29.65% Humidity. 0.0MPH North Wind.",2
"#WEATHER:  6:54 am : 45.0F. Feels 40F. 29.87% Humidity. 10.4MPH North Wind.",2
"RT @mention: i don't like the weather today. #firstworldstruggles",1
"Thunderstorm time! Movies and cuddling sounds perfect right about now!",3
"Sunshine in the forecast tomorrow = spending the day on Lake Tillery with my girls!",3
"Time to get out and walk in this beautiful weather.",3
"RT @mention i think it's extremely cold out today. &lt;--- its extremely bull shit out.  Its supposed to be 70 and sunny! What the f",1
"Its hot as shit outside!!",1
"80 degrees today fuck yeah.",3
"Beautiful weather today! Check out what's blooming in the Garden this week: {link}",3
"Storm front over Shawano Lake May 12:  {link}",2
"#Corn #planting progress is made with drier #weather: {link} #ag",2
"Imagine this:  Iowa.....baseball tourney with my son....80 degrees....white, winter skin....SUNBURN!!!  Shiiiiit!!! @mention @mention",1
"@mention Tis sunny here! You should be here taking gorgeous photos! :D",3
"#WEATHER:  4:51 am : 40.0F. Feels 35F. 30.00% Humidity. 6.9MPH North Wind.",2
"OK @mention is overreacting.  It is NOT that hot outside",2
"This weather in NYC fuckin sucks. Damn, where's my 80 and sunny?",1
"Coffee and sunshine! Me happy!!!",3
"its cold outside to want to do something...ugh...warm weather please come on....",1
"#WEATHER:  9:51 pm : 45.0F. Feels 39F. 30.04% Humidity. 11.5MPH North Wind.",2
"Dear weather, its MAY. Get your seasons straight. Sincerely, #rainharder #Idareyou.",1
"Storm will bring high winds, heavy rain and possibly snow tonight to Treasure Valley {link}",2
"@mention That sucks! And it's windy like hell too. And I finally got my SV running all cherry. Haha! Have a happy cinco de mayo!",1
"I hope the weather behaves tonight so we can have a bonfire.",2
"Special Weather Statement issued May 05 at 7:17PM CDT expiring May 05 at 7:35PM CDT by NWS Wichita... {link}",2
"Severe Thunderstorm Warning for Breathitt, Clay, Leslie, Owsley and Perry Counties until 9:30pm EDT. #kywx",2
"RT @mention: Man, how am I suppose to tan in this weather? :(",1
"morning run with 54 degrees and sunrise...priceless.",3
"@mention this moisty windy weather is highlighting my naturally pubic textured hair, grrrrrr!",1
"Perfect weather day",3
"Weather feels sooo nice today",3
"Great day in San Diego today and 68 degrees! {link}",3
".A POTENT PACIFIC STORM WILL BRING INCREASING WINDS TO THE REGION OVER THE WEEKEND AS IT MOVES INTO NORTHERN CALIFORNIA {link}",2
"Severe thunderstorms today most likely north and west of San Antonio.  Rain chances for SA increase to 40% tomorrow.",2
"So #windy outside...#needsun",1
"Omq.. We're in the car and the thunderstorm warninq came on lol.. Everybody was scared..",1
"#WEATHER:  10:56 am: 73.0F. Feels F. 30.10% Humidity. 0.0MPH North Wind.",2
"RT @mention: Fucc with this stl weather im glad i aint put these winter clothes away just yet",1
"Thought my house was going to crumble down because of the storm yesterday #scaryshit",1
"RT @mention: Weather is amazing. Walked out of Starbucks on to a patio full of cute girls with glasses. Tripped. Fell. Spilled my frap eve ...",3
"More amazing beach weather for our Cinco celebration!  Start off at Lahainas Pacific Beach with $1 street tacos,... {link}",3
"This weather is tragic",1
"Looking at this weather, not good, is there any football on today ?? lol",1
"Gorgeous weather in Chicago today #jeanswereamistake and the new @mention is out today, listening to it all day!",3
"#WEATHER:  12:53 am: 54.0F. Feels 50F. 29.87% Humidity. 13.8MPH Southeast Wind.",2
"Neighborhood Fartleks in the cool, wet weather.  Loved it!! {link} via @mention",3
"The high temp today will be low. The low temp will be lower! Some sort of Mother Nature joke.",1
"{link}  A great spring day Tuesday with sunshine...a cool start but mild afternoon",3
"2nd storm night and i am still cuddleless",2
"Its a hot sunny day in ATL! Loving it!",3
"Weather data at 8:00 PM. 65.6&#xB0;F, 80&#x25; humidity. Wind: 0.0 mph from the ESE. Rain: 0.00 in. NO CURRENT ADVISORIES",2
"My shoulder is beginning to hurt. Don't be surprised if rain decides to make an unexpected visit. Or extreme humidity. One of the two.",1
"#WEATHER:  10:54 am: 65.0F. Feels F. 29.87% Humidity. 8.1MPH East Wind.",2
"#WEATHER: 7:52 pm C: 68.0F. Feels F. 30.15% Humidity. 17.3MPH South Wind.",2
"RT @mention: #nowwarming Coconut Lemongrass, Matches the 90 degree weather.thinking of a cold drink in my hand & toes in the sand! @mention ...",3
"Why I am starting to love rainy days {link} #itsgoodforthesoul",3
"@mention  Glad you're enjoying the day. Great weather here, too. Heading out to speak at a book club tonight.",3
"The weather is just not lovely right now :( It's freezing cold!!! Time to go to the gym... :)",1
"It is not no damn 65 out here it hot af...(detroit)",1
"HailWatch Severe Storm Report  1.75"" reported @ 05/21/2011 20:18 CDT IA, LOGAN  - Zip Code: 515... Read more at {link}",2
"The #apocalypse must be upon us - its sunny for the second straight day in #pittsburgh.",3
"@mention you in Gvl today? It's gorgeous outdoors! Great grillin' and chillin' weather.",3
"Gardner WX 05/24/11 2:00 PM | 66F, 71&#x25; Humidity, Feels Like 66F | Alerts: NO CURRENT ADVISORIES | {link}",2
"Damn its nice out #sunshine",3
"Thank god its thursday...ready for the weekend and some nice weather:)",3
"@mention Sorry abt delay-timeline is really slow. Fair was good; weather bad. Hubby wants to order another glass panel--yikes...",1
"Ran 9.15 miles in 1 hour and 26 mins and felt alright. First lap of my long run. The weather today was amazing! {link}",3
"@mention *shit, its been cold outside!!!*imma be out tho!!!*",1
"Flood Notification No. 4 - FLASH FLOOD WATCH: The National Weather Service in Honolulu has extended the FL... {link}",2
"The weather isn't making it any easier",1
"Thanking God for this beautiful weather. My baby can now enjoy her birthday party! #excited",3
"perfect weather today..",3
"Take cover in Corinth due to tornado producing storm. Selmer also getting strong storms #timsimpson",2
"I'm completely ok with the fact that it is May and it's cold outside.",3
"It's getting sultry out there; a storm is coming.",2
"Loving the weather -__-",3
"Here comes that stormy weather",2
"Anthem, AZ @mention:00 AM, Temp:88.9&#xB0;F, Wind:1.1 mph S, Baro:29.43 inches, Hum: 13, Rain:0.00 in., Hi:88.9&#xB0;F, Lo:59.4&#xB0;F@mention:12 AM",2
"Warn and sunny in #arad, #romania. Perfect for a day out. I, however, am stuck inside, working.",3
"STRONG THUNDERSTORMS WILL MOVE ACROSS DARE, HYDE AND TYRRELL COUNTIES THROUGH 145 AM EDT. THANKS FOR STAYING WITH STORM TEAM 9.",2
"It went from winter to summer in a hurry.  Have the AC on today to get rid of the humidity.  Love it~! :-)",3
"Gorgeous sunny morning in #nyc, loving my walk to #MOODFABRICS!!!! (highly likely that I am still drunk @mention)",3
"its toooooo HOT outside...",1
"Perfect weather for a roadtrip.. :)",3
"Amazing weather in Seward!",3
"All my damn curls dropped! This damn weather!",1
"Isolated storm headed for Jax W'side...{link} smoke continues S. Ware/S. Charlton Co.-fire now 104,000  acres!",2
"We go inside to bowl and it's mad hot out and we come out to a storm. Mother nature legitimately,  needs her ass beat.",1
"Damn why does it have to be like 10-20 degrees less in Milwaukee than the Madison area? Stupid.",1
"@mention awesome man, appreciate that. This storm aint no joke though. Got me on the streets right now",1
"It is so hot outside; I have to wait with my mother because her Suburban is overheated.  Fucking SUVs.",1
"Feeling good in South. FL.  Heat won & this 90 degree beach weather.",3
"Venezuela is definitely one of the most fun places I have ever visited. The people are so friendly, the food is good, weather great. #travel",3
"@mention horrible weather.. long day.. but..It still a good day.. made $$$ wus better?",1
"This weather aint fenna fuck up my plans",1
"RT @mention: This weather is being a bitch. When it's hot its really hot.. When it's cold it's really f'n cold &lt;&lt;&lt; fuckin tornado weather",1
"Dear sun, please don't leave again! It felt so nice to run outside in perfect weather today.",3
"#WEATHER:  7:54 pm : 81.0F. Feels F. 29.93% Humidity. 0.0MPH North Wind.",2
"RT @mention: Dangerous storm passing through Dallas/Ft. Worth Metroplex.  Large hail and tornado threat!  (cont) {link}",2
"The weather is making me antsy & depressed. #sunplease",1
"Asssssssssssssss the storm is making the lights flicker a LOT",1
"@mention Think it was hot in SA last week?  99 degrees today, still no rain for us... :(",1
"Holy heinous day of severe weather and of DekoSelect/MOS. Massive @mention run after this newscast and Sports Show.(cc:@mention)",1
"Sooooo sunny! I live SoCal weather.",3
"@mention @mention Is it nice and warm there? We are freezing on the East Coast....BRR",1
"Great day... decent weather... thinking spring is finally here.",3
"...FLASH FLOOD WATCH IN EFFECT FROM 2 PM EDT THIS AFTERNOON THROUGH THIS EVENING... THE NATIONAL WEATHER SERVICE... {link}",2
"Scattered thunderstorms tonight, low 64 (18 C).  Scattered thunderstorms Saturday, high near 76 (24 C).",2
"Severe Thunderstorm Warning for Jewell, Mitchell, Osborne and Smith County in KS until 7:00pm CDT. #kswx",2
"RT @mention: Storm Prediction Center just expanded its ""HIGH risk"" area for today/tonight.  TOR:CON up to 8.  Map:  {link} ...",2
"Sunshine!!! :)",3
"Summer weather, yay! {link}/",3
"Comfy chair gets morning sun. Finally warm. Don't want to move, but need to go out soon. At least it's Friday!!",3
"@mention Good luck, man! The weather is on your side!",3
"17 degrees today, my arse.",1
"The forecast for this weekend is hot and sunny! Come join us for a swim!",3
"If, like me, you have sunshine ;) don't forget you can safely project an image of the Sun through binoculars and on to card",3
"Done with work, great weather for a great first day back. #Godisgood.",3
"@mention We had those same winds. Nice morning, then started to get a bit windy about noonish. By 3:00 it was horrible. Brown skies.",1
"in 10 minutes, it went from sunny and nice to cloudy and rainy. goal: get out of the midwest and live somewhere tropical and beautiful.",1
"We just had a really, really good dinner....perfect on this beautiful day of weather.  =)",3
"It's too hot outside",1
"@mention Good to hear you're seeing some spring sunshine! It's a gloomy, rainy day in KC.",1
"Supposed to be 92 degrees today...",2
"@mention Not to riub it in but sunny and 81 in Orlando today!",3
"Current weather at 9:33 ,61.1 deg, 38 pct 4.0 mph, from the ENE",2
"73.4F (Feels: 73.4F) - Humidity: 62% - Wind: 7.6mph SSE - Gust: 12.1mph - Pressure: 1006.5mb (+0.1)  #weather {link}",2
"If I could marry the weather right now, I would!",3
"M0ZIF QTH Weather 09:00 18.8&#xB0;C 62 pct 3.8 mph E {link}",2
"The weather finally feels like May, just in time for Mt. Adams Pavilion Thursdays - Cinco de Mayo Edition!!! Come... {link}",3
"It's fucken cold outside but the sun s out #lame",1
"Forecast for Today:  							 								Areas of dense fog this morning. Mostly sunny. Highs in the upper 70s. Ligh... {link}",2
"Lord hold this bad weather these clouds are dark...",1
"I love sunny WA days :-)",3
"One thing that sucks about warmer weather: your water never stays cold for very long.",1
"Beautiful Boise day! Sunny,74 degrees.  Took long walk on green belt. Did some nature photography. Nice afternoon with Matt",3
"A beautiful sunny day! Yay, time to go out for lunch. Drop by Yogurtopia.",3
"4:40 pm Friday 5/13/11 (Forecaster Matt) |3D radar image of the storm near Zolfo Springs, showing what looks to... {link}",2
"Severe T-storm WARNING in effect for Fayette County until 8:30. This storm is capable of producing small hail & winds in excess of 60mph.",2
"It was perfect weather for a trip to the zoo. My favorite thing is the giggles from the kids when they see the monkeys swinging around!",3
"So im finna go c if its really cold outside",2
"More Weather: Sunday(Mother's Day): Bright mix. High:73 Mon: Early shower/pm sun. High:72 Tue-Wed: Sunny. High:73-76 Thu-Fri: t-showers",2
"@mention Crap weather in NH too, Scott!!! Sending love from NH!!",1
"And stormy then sunny again now another thunder storm heading through @mention @mention",2
"Sunny days, party night, hot guys, water fights, pretty hair, tanned skin schools out summers in :) &lt;3",3
"RT @mention: something about sf weather is making me itch. must be all the urine and poo particles floating through the air.",1
"The humidity is back...ugh.",1
"hello sunshine!! it's a sunny morning. supposed to be summer-like weather here the rest of the week. I heart May.",3
"Beautiful weather in Houston! I sure hope we see this kind of weather a wk from now",3
"power keeps going out due to the severe storm &gt;&lt;",1
"Thank god it's rainy an cloudy...gives me a reason not to do anything but lay on the couch. #hangover #ouch",3
"Sitting in shock while watching the Weather Channel coverage of the tornado that hit Joplin...",1
"Need to be outside enjoying this #sunshine",3
"Swim team practice starts this week, but the weather isn't cooperating yet. Practices for 11-and-under swimmers... {link}",1
"@mention @mention woohoo! Love the warm weather!",3
"@mention lol it came out sunny here at 4 :P",3
"Dear #Pittsburgh weather, I look much better in color.. This #grey shit has got to go... #itsnotthe1940s",1
"RT @mention: Spring has sprung: Warm weather ahead for the week {link}",2
"RT @mention: LAS TIME I REALLY FELT GOOD WEATHER LIKE DIS...I GOT SHOT!",3
"Beautiful weather drops my work ethic a notch or two. Its almost too nice out!",3
"@mention ahhh I have to clean mine :( jesus christ the weather is so bipolar -__-",1
"#LNK 7 day forecast (high temp.) - 66, 77, 80, 82, 77, 72, 67.",2
"#weather Forecast for Rest Of Today {link}",2
"cant wait for the sunshine this weekend",3
"Everyone needs to get outside and enjoy this weather and get a little vitamin D",3
"enjoying the sunshine and a cup of coffee.  love that the @mention on 32 has outside seating.",3
"Today: Scattered showers & thunderstorms, mainly before Noon. Some of the storms could produce heavy rainfall. (NWS)",2
"Storm clouds are forming.",2
"Another GREAT option for race fans tonight! RT @mention: Weather.com is showing 0 - 10% chance of rain tonight. ... {link}",2
"@mention Kickboxing and playing softball tomorrow!! Lovin' the hot weather!! :)",3
"WRIGHTSVILLE BEACH: Airlie Concert Series cancelled tonight because of weather {link}/ #ilm #nhc @mention",2
"Ahwatukee YMCA Fans... How are you liking this weather??",2
"It feels good outside.  #sunny&fresh",3
"Finally! Beautiful weather for driving! I'm jealous that @mention spent the day at john ball zoo, though... :)",3
"Severe Thunderstorm Warning for Barton and Dade County in MO until 7:30pm CDT. #mowx",2
"RT @mention: After a cold and rainy week in Ohio Friday and Saturday have been soo beautiful outside",3
"rt@mention SkiZone: Snow Report Maine Closed  / Past 48 Hours: 0in. / Primary: N/A / Base Dep... {link} #ski #skiing #vail",2
"#WEATHER:  6:54 pm : 49.0F. Feels 42F. 29.80% Humidity. 19.6MPH Northwest Wind.",2
"5-6 Weather Update {link}",2
"@mention i was supposed to :( but we got a shit load of snow days",1
"It's cold outside!!!! #heatedseats activated",1
"@mention Right before your post...Loving this gorgeous weather and wish I was at the ball park to enjoy it! #lovesunshine #lovebaseball",3
"#WEATHER:  11:56 pm: 49.0F. Feels 46F. 29.96% Humidity. 6.9MPH North Wind.",2
"RT @mention: The weather is horrible, Dice got pelted in the chest and fans are booing him.  Yep, all those things SUCK.  #RedSox",1
"Its freezing out. {link}",1
"That storm was a LETDOWN! #weak",1
"Same thing I was saying smh RT @mention: What happened to today being sunny? Where is this rain coming from?",1
"Severe Thunderstorm Warning for Ripley and Switzerland County in IN until 7:15pmEDT. {link}",2
"What goes great with the Wonderful weather, Gyros of course, come grab one for lunch at the Cart on Wisconsin and... {link}",3
"@mention Hope you get some sunshine as i have some here we need it rained 4out of the last 5 will try and send some sun ur way hun",2
"sometimes i love rainy days.",3
"#WEATHER: 2:53 pm C: 57.0F. Feels 56F. 29.92% Humidity. 5.8MPH East Wind.",2
"I hope your day is just ass beautiful as the weather....have a good one!!!",3
"And humid RT @mention: Its stupid hot out",1
"Whack weather all week...smh",1
"Audio: Tornado siren from three blocks away, out in the windy yard. (It went for a few minutes, then... {link}",2
"#WSD Hoboken 'Baby Parade"" canceled due to rainy weather: Journal file photoFrom the Eighth ... {link} {link} #WSD",2
"Thousands lose power as thunderstorms hit Louisville area - Louisville Courier {link}",2
"#WEATHER:  2:53 am : 52.0F. Feels F. 30.08% Humidity. 0.0MPH North Wind.",2
"@mention @mention It's eightyone here, but with (wait for it) six percent (06%) humidity and the breeze it feels like a way cool seventy.",3
"#WEATHER:  4:51 pm : 84.0F. Feels F. 29.84% Humidity. 11.5MPH West Wind.",2
"Severe Thunderstorm Warning issued May 19 at 6:59PM CDT expiring May 19 at 7:30PM CDT by NWS Norman-Oklahoma City... {link}",2
"#WEATHER:  4:51 pm : 92.0F. Feels F. 29.90% Humidity. 12.7MPH West Wind.",2
"@mention how's the weather looking there? we got a lot of rain here in Bama that might be coming ur way",2
"It's bedtime, but I still have to pack for tmrw's shindigs. Cold weather is throwing a serious kink in my clothing plans.",1
"Perfect baseball weather. Let's go Bees!",3
"Rainy Reds-Cards game... I feel soggy #StillHateBrandonPhillips",1
"@mention Done with the rain and headed to the beach tomorrow.  Finally sunshine and sand!",3
"Saw lots of cars bearing snow on their way down as I drove up the hill to work this morning",2
"Looking for a Bright Spot in this Gloomy Weather {link}",1
"Ooh its hot out here. #burningUp",1
"Weather Lookinq Good For Today !*",3
"Severe Weather Statement issued May 20 at 3:28PM CDT expiring May 20 at 3:45PM CDT by NWS Austin-San Antonio... {link}",2
"It's sooo hot outside . yikess",1
"[WATCH] UPDATE #23, Tropical Storm - Aere, NW Pacific Ocean, Winds 35 kt, Gusts 45 kt, reported by JTWC. {link} #fb",2
"#WEATHER:  2:53 am : 65.0F. Feels F. 29.75% Humidity. 9.2MPH South Wind.",2
"Y'all the weather today is sun. Get excited.",3
"I admire the awesome weather today. Ohyeah",3
"A thunderstorm! How glorious!",3
"@mention lol. It is something we see perhaps once or twice a week. lol. Darn rainy spring.",1
"RT @mention: Okay after talking with the NWS guys they feel like a severe thunderstorm watch will be issued shortly. #ncwx #scwx",2
"have to change my all black its too hot out",1
"Sunny today, high 86 (30 C).",2
"Hmm depressing weather nothing better then to possibly nap!",1
"Only packed shorts and t-shirts and of course it's cold and rainy in MAY in Phoenix Arizona when I'm here. #goodtobehome #fml",1
"#WEATHER:  9:12 am : 79.9F. Feels F. % Humidity. 6.9MPH East Wind.",2
"In Odessa this weekend, don't miss living here, but I am enjoying the dry non-humid weather!",3
"Im so into this sunshine #loveit",3
"Despite Overcast Weather, Bicycling Event has Another S... - {link}",2
"@mention Love the warm weather, not the humidity, but we'll take it #summertime",3
"Getting real tired of Wisconsin weather. Third week in May, I left the house wearing a winter jacket. #TF?",1
